"genename","age","percent","measurement"
"Aldh1a1",23,0.000674025387211835,0.92468907293452
"Aldh1a1",18,0.00185124243760373,1
"Aldh1a1",15,0.000894349520383693,0.904759884085795
"Aldh1a1",13,0.000855325509523906,0
"Bcl11b",11,0.00021398780293524,0
"Bcl11b",18,0.023991696266537,0.863727292903654
"Bcl11b",15,0.0129157164379207,1
"Bcl11b",13,0.00474035198879505,0.72248863103111
"Bcl11b",23,0.0161146800564867,0.486763509133172
"Cdh2",11,0.0100607052246738,0.455680319481675
"Cdh2",18,0.0613844850655039,1
"Cdh2",15,0.0217321186057039,0.376934836276173
"Cdh2",13,0.0104939332958717,0.217479175457554
"Cdh2",23,0.0356729403461743,0
"Cux1",11,0.00240527814590026,0.518546707123044
"Cux1",13,0.00312526365040699,0.705139691811023
"Cux1",18,0.00294527536261985,0.703529274134252
"Cux1",23,0.00044477704007438,0
"Cux1",15,0.0026683214163294,1
"Dcx",11,0.0150097414324871,0.954412496017618
"Dcx",18,0.0117124521003887,0.00944945877690001
"Dcx",15,0.0259039813754033,0.657965252717647
"Dcx",13,0.0126441452445919,1
"Dcx",23,0.0497075930688923,0
"Eomes",11,0.00584553081963925,1
"Eomes",13,0.00196684148420087,0.833369260263846
"Eomes",18,0.00134877477569582,0
"Eomes",15,0.00111664417649705,0.244523363972753
"Eomes",23,0.000431415052360328,0.0241943309948484
"Gad2",11,0.0064335856176285,1
"Gad2",23,0.024659075604123,0.205298704971621
"Gad2",23,0.022736885608754,0
"Gad2",15,0.00747543191649183,0.618224326870718
"Gad2",13,0.00663836808004762,0.930404705655983
"Gad2",18,0.0169096118327429,0.0474800773355139
"Gfap",11,0.00657307126839063,0.516455348634329
"Gfap",23,0.0122136268102875,1
"Gfap",18,0.0049464068326256,0.292394161205832
"Gfap",15,0.00138193348264339,0
"Itgam",11,0.000696838339546138,0
"Itgam",18,0.000133706955802811,0.169247909865484
"Itgam",23,0.00114326260305447,0.800320139688637
"Itgam",15,0.000212897945201633,1
"Itgam",13,0.000179022567381681,0.0366423755201627
"Map2",11,0.073096715354507,0.605115978237815
"Map2",23,0.0569149252370894,0
"Map2",15,0.0990852544136162,0.59312931405831
"Map2",18,0.0704919993847872,0.360796407568913
"Map2",13,0.0770248462806278,1
"Nes",11,0.0337130671479387,0.859469428060927
"Nes",23,0.00153244994437767,0
"Nes",13,0.0343683140245056,1
"Nes",15,0.00824827058102144,0.645306908396534
"Nes",18,0.00576932147109054,0.530390498727482
"Neurod1",11,0.00198602911079008,0.966553635182561
"Neurod1",15,0.0003223863280719,0
"Neurod1",15,0.000545219587262755,0.518872055009435
"Neurod1",23,0.00297549039533587,1
"Neurod1",18,0.00171251052716244,0.883389782573174
"Neurod1",13,0.00160527555883225,0.293994672330895
"Ngfr",11,0.0136232722300902,1
"Ngfr",13,0.00465637678117333,0.655149377675352
"Ngfr",15,0.00308214811606756,0.826805540193344
"Ngfr",18,0.00172130134772939,0.262226299568631
"Ngfr",23,0.000723018574808486,0
"Ntrk2",11,0.00387665377969259,0
"Ntrk2",13,0.00904928167392501,0.809960049758909
