"genename","age","percent","measurement"
"Aldh1a1",23,0.000401972809421725,0.948999082381577
"Aldh1a1",18,0.00176338499617165,0.778129042353362
"Aldh1a1",15,0.00079457695769577,1
"Aldh1a1",13,0.000326950780626562,0
"Bcl11b",11,0.00021398780293524,0
"Bcl11b",18,0.0157308864571093,0.347680290556695
"Bcl11b",15,0.00546938197194591,0.774413986776451
"Bcl11b",13,0.00461188952469733,1
"Bcl11b",23,0.00833410068963478,0.116307262984106
"Cdh2",11,0.0100607052246738,1
"Cdh2",18,0.0476116512944918,0.856341433446257
"Cdh2",15,0.0320384977110443,0.760107418367032
"Cdh2",13,0.0115869693921065,0.486128425434409
"Cdh2",23,0.0229126562543005,0
"Cux1",11,0.00240527814590026,0.918111934363247
"Cux1",13,0.00110965923817668,0.171411130472785
"Cux1",18,0.0051747423007447,0.614800640036453
"Cux1",23,0.000699177725536519,0
"Cux1",15,0.00246222497515905,1
"Dcx",11,0.0150097414324871,1
"Dcx",18,0.0134214359504132,0
"Dcx",15,0.0321855458286281,0.566051332382267
"Dcx",13,0.0198512953188344,0.947900097283972
"Dcx",23,0.0342243633455816,0.132855710171302
"Eomes",11,0.00584553081963925,1
"Eomes",13,0.00073191515338679,0.0641698947048854
"Eomes",18,0.00416644478924705,0.623701500152774
"Eomes",15,0.0013178842965218,0
"Eomes",23,0.00319423642699496,0.654990573423499
"Gad2",11,0.0064335856176285,1
"Gad2",23,0.0229229050895934,0.485754109722266
"Gad2",23,0.020954491448079,0.166995837513615
"Gad2",15,0.00618901108686941,0.452734043297731
"Gad2",13,0.00607410217316769,0.863847328427554
"Gad2",18,0.0222856801865487,0
"Gfap",11,0.00657307126839063,0.525198035549316
"Gfap",23,0.024376708691462,1
"Gfap",18,0.0129841516063319,0.432493027520795
"Gfap",15,0.00106103109303546,0
"Itgam",11,0.000696838339546138,0
"Itgam",18,0.00021860858867021,0.0829884190801076
"Itgam",23,0.00138893225026258,0.544576008395366
"Itgam",15,0.000365123108526459,1
"Itgam",13,0.000271650576294086,0.19612765549682
"Map2",11,0.073096715354507,1
"Map2",23,0.043952832179328,0.0858197427624232
"Map2",15,0.0797525565622847,0.670503051488248
"Map2",18,0.0464915840247953,0
"Map2",13,0.0606688017003676,0.932611109284031
"Nes",11,0.0337130671479387,0.992557658005671
"Nes",23,0.00156783955715304,0
"Nes",13,0.018363713292471,1
"Nes",15,0.00586836675775173,0.477834464704428
"Nes",18,0.00286101923688306,0.258542113252729
"Neurod1",11,0.00198602911079008,1
"Neurod1",15,0.0014369431784097,0
"Neurod1",15,0.00342378256584803,0.767564040166246
"Neurod1",23,0.014612914677504,0.937544941026631
"Neurod1",18,0.00610141575907583,0.585414320922478
"Neurod1",13,0.00281769145871072,0.60555186854008
"Ngfr",11,0.0136232722300902,0.726095366191148
"Ngfr",13,0.0128183746658949,0.627377691690517
"Ngfr",15,0.0179849682028004,1
"Ngfr",18,0.0105759422790603,0.283882885797037
"Ngfr",23,0.00626877724226185,0
"Ntrk2",11,0.00387665377969259,0.121752278831393
"Ntrk2",13,0.0148103556788401,1
"Ntrk2",15,0.0320457159646425,0.522102885452681
"Ntrk2",23,0.0333563257891895,0
"Ntrk2",18,0.0291318122259836,0.311563717835934
"Olig2",11,0.00341633157914692,1
"Olig2",18,0.00620986945560742,0
"Olig2",13,0.000777977684647512,0.0997212648844177
"Olig2",15,0.00149020536454273,0.0776993782762985
"Olig2",23,0.0298174583339459,0.594498286225449
"Pax6",11,0.0166102423302716,1
"Pax6",23,0.00254152761714758,0
"Pax6",15,0.00454017076432466,0.721258432359291
"Pax6",18,0.00750115999656583,0.663791556685896
"Pax6",13,0.00199571311765984,0.264951322519632
"Pdgfra",11,0.00781120337416113,0.195427504583633
"Pdgfra",18,0.0178785533319387,1
"Pdgfra",23,0.00938300282797999,0.17852924712938
"Pdgfra",13,0.00165652783553605,0
"Pdgfra",15,0.00266629737228502,0.286025904752779
"Pdgfrb",11,0.0093749718266377,1
"Pdgfrb",13,0.00279604119438688,0.239324510393522
"Pdgfrb",18,0.0115822435472475,0.768331572610444
"Pdgfrb",15,0.00132179820887467,0
"Pdgfrb",23,0.00186765654625594,0.14730784707418
"Prom1",11,0.00147992502258233,0.342294033784104
"Prom1",23,0.000622563047799431,0
"Prom1",15,0.0022972122688567,0.864216987025851
"Prom1",18,0.00456699493682792,0.869803605842125
"Prom1",13,0.00359304008399572,1
"Ptprc",11,0.00454281878490246,1
"Ptprc",18,0.000261336501271062,0
"Ptprc",15,0.000839600926308882,0.343458231258762
"Ptprc",23,0.000482917703096057,0.676955319516342
"Ptprc",13,0.00149219859592961,0.559231629383687
"Slc1a3",11,0.00101443780462977,0
"Slc1a3",23,0.0456313845336486,0.689909517310439
"Slc1a3",15,0.0523967294406368,0.909274434276676
"Slc1a3",13,0.0323402193303449,1
"Slc1a3",18,0.023937624230212,0.104485426666273
"Sox10",11,0.00383412599675896,1
"Sox10",15,0.000603574713649942,0.254713324461355
"Sox10",23,0.0040826966203915,0.059674217483365
"Sox10",18,0.0118758308667455,0
"Sox10",13,0.000621552523308755,0.334892765314585
"Sox2",11,0.0491904664861987,0.973739078043463
"Sox2",18,0.0318611474768692,0.351952513949326
"Sox2",15,0.0182115723560988,0.492902424508658
"Sox2",23,0.00777727987938761,0
"Sox2",13,0.0560403039520629,1
"Tbr1",11,0.00268088189483287,0.98522674942431
"Tbr1",15,0.00459586954185297,0.423763430156509
"Tbr1",18,0.000416962703263395,0.0628236480648113
"Tbr1",23,0.00196017397379679,0
"Tbr1",13,0.000365469513840986,1
"Tubb3",11,0.0748697836454008,1
"Tubb3",13,0.0462544695892367,0.7769713177368
"Tubb3",15,0.0459508073665351,0.644143094377965
"Tubb3",23,0.0741863113467329,0.155447454587496
"Tubb3",18,0.0833338069258165,0
