"genename","age","percent","measurement"
"Aldh1a1",23,0.000160253942771661,0.956169969538646
"Aldh1a1",18,0.000286299954018498,1
"Aldh1a1",15,0.000141824316902302,0.705033771993817
"Aldh1a1",13,0.000252190220181704,0
"Bcl11b",11,0.00021398780293524,0
"Bcl11b",18,0.0365312033991788,0.949423709859277
"Bcl11b",15,0.0175353609690013,0.961680472040448
"Bcl11b",13,0.0182049311389677,1
"Bcl11b",23,0.0349869550594451,0.805522308481391
"Cdh2",11,0.0100607052246738,0.361921085324079
"Cdh2",18,0.0469945846438665,1
"Cdh2",15,0.0312507238133964,0.672467726065297
"Cdh2",13,0.00653418878098709,0
"Cdh2",23,0.0423356725543114,0.159489793357047
"Cux1",11,0.00240527814590026,0
"Cux1",13,0.00172887294241811,0.133911100924363
"Cux1",18,0.00253718519583278,1
"Cux1",23,0.00124102882064552,0.373085045264907
"Cux1",15,0.00189140165223594,0.681780350559741
"Dcx",11,0.0150097414324871,0.8551833349962
"Dcx",18,0.0267623080079629,0.781271966865582
"Dcx",15,0.0231188533203384,0.308458768746915
"Dcx",13,0.0166899310915845,1
"Dcx",23,0.0527336390952628,0
"Eomes",11,0.00584553081963925,0
"Eomes",13,0.058874246074078,1
"Eomes",18,0.00923318855143822,0.315460942845489
"Eomes",15,0.0352933132454844,0.814145783000674
"Eomes",23,0.00520622040730115,0.344056853450655
"Gad2",11,0.0064335856176285,0.865513289261831
"Gad2",23,0.0136135893993786,0.167479102718551
"Gad2",23,0.0125660817062822,0
"Gad2",15,0.00903323591217603,0.733770767161783
"Gad2",13,0.0191754708855138,1
"Gad2",18,0.0110495534888414,0.0617693469911401
"Gfap",11,0.00657307126839063,0.446587631190771
"Gfap",23,0.0182559326748256,1
"Gfap",18,0.00842270884857279,0.63196153144043
"Gfap",15,0.000623729356474213,0
"Itgam",11,0.000696838339546138,0
"Itgam",18,0.000187369008046719,0.254086565794013
"Itgam",23,0.000961323907193645,0.424364890764766
"Itgam",15,0.000276355376855895,1
"Itgam",13,0.000177750117323313,0.628178057891468
"Map2",11,0.073096715354507,1
"Map2",23,0.0482093706831189,0
"Map2",15,0.0655343021009852,0.588368403752349
"Map2",18,0.0576280261957164,0.792426714665814
"Map2",13,0.0591647370025793,0.926729701041683
"Nes",11,0.0337130671479387,0.890770426731574
"Nes",23,0.00139397357259931,0
"Nes",13,0.0357675351968019,1
"Nes",15,0.00753174798644958,0.805474865448889
"Nes",18,0.00481584433946184,0.756020227918354
"Neurod1",11,0.00198602911079008,0.958896759001005
"Neurod1",15,0.00368958504094197,0.733428098676229
"Neurod1",15,0.0105863165000797,1
"Neurod1",23,0.00251663358654349,0
"Neurod1",18,0.00469118380457293,0.371802074511393
"Neurod1",13,0.00166112970420651,0.275650604319716
"Ngfr",11,0.0136232722300902,1
"Ngfr",13,0.00266268168885519,0.216543460974503
"Ngfr",15,0.00266153679059425,0.571787199506594
"Ngfr",18,0.00237173624428382,0
"Ngfr",23,0.00119645112230626,0.0527166174841564
"Ntrk2",11,0.00387665377969259,0
"Ntrk2",13,0.0038832566779419,0.630916863246281
"Ntrk2",15,0.0147072296708625,1
"Ntrk2",23,0.0395054270914794,0.262864022940668
"Ntrk2",18,0.0196088256379039,0.908787246258107
"Olig2",11,0.00341633157914692,1
"Olig2",18,0.00305355828184246,0.113095853857151
"Olig2",13,0.000731250955644864,0.234521229954558
"Olig2",15,0.000204247776683019,0
"Olig2",23,0.0219001666371871,0.485339594384712
"Pax6",11,0.0166102423302716,1
"Pax6",23,0.000926824405687536,0
"Pax6",15,0.00767022421821578,0.806178632897656
"Pax6",18,0.00322166685925661,0.484856728310371
"Pax6",13,0.00547335985102798,0.763696311913912
"Pdgfra",11,0.00781120337416113,0.340473972307882
"Pdgfra",18,0.011431706707528,1
"Pdgfra",23,0.0101868878346721,0.578252929224066
"Pdgfra",13,0.00063534493552022,0
"Pdgfra",15,0.00107482883803038,0.0502306811383935
"Pdgfrb",11,0.0093749718266377,0.673506345082761
"Pdgfrb",13,0.00151533980441659,0.341510691605696
"Pdgfrb",18,0.00846877346930709,1
"Pdgfrb",15,0.00115750392280549,0
"Pdgfrb",23,0.00159152058304077,0.0342491574045201
"Prom1",11,0.00147992502258233,1
"Prom1",23,0.000180681700287939,0.0121712297919881
"Prom1",15,0.000266530380182258,0.543131745530221
"Prom1",18,0.000262088807377645,0.993203401672889
"Prom1",13,0.000451394693289793,0
"Ptprc",11,0.00454281878490246,1
"Ptprc",18,0.000217498352455762,0.160743918603223
"Ptprc",15,0.000653685023372063,0
"Ptprc",23,0.000360027675533991,0.624357679383943
"Ptprc",13,0.00111589296811559,0.280017668205016
"Slc1a3",11,0.00101443780462977,0
"Slc1a3",23,0.0514857063535483,0.697889081841632
"Slc1a3",15,0.016462193827572,1
"Slc1a3",13,0.00324589095729741,0.577276625766413
"Slc1a3",18,0.00761500487744184,0.404554621339178
"Sox10",11,0.00383412599675896,1
"Sox10",15,0.000225810311511205,0
"Sox10",23,0.00111329598393701,0.0353144430985703
"Sox10",18,0.00364652243439765,0.0565418695398164
"Sox10",13,0.000159333135352735,0.279071672132108
"Sox2",11,0.0491904664861987,0.984053637049316
"Sox2",18,0.0171101141753567,0.613332598126199
"Sox2",15,0.0113223439815688,0.790418594424955
"Sox2",23,0.00743653492778712,0
"Sox2",13,0.0624570606917692,1
"Tbr1",11,0.00268088189483287,0.901617397794061
"Tbr1",15,0.0785159944726331,1
"Tbr1",18,0.0230138388140596,0.791726248033199
"Tbr1",23,0.0152241249110615,0
"Tbr1",13,0.0603692363552573,0.933467104612994
"Tubb3",11,0.0748697836454008,1
"Tubb3",13,0.0312618870179512,0.559355346127149
"Tubb3",15,0.0318410760550624,0.584423194379465
"Tubb3",23,0.0797270508085167,0
"Tubb3",18,0.0663638834677785,0.292233211946483
