Gene stable ID	Gene name
ENSG00000262418	PTPRC
ENSG00000205927	OLIG2
ENSG00000136750	GAD2
ENSG00000182968	SOX1
ENSG00000100146	SOX10
ENSG00000165092	ALDH1A1
ENSG00000174837	ADGRE1
ENSG00000170558	CDH2
ENSG00000007062	PROM1
ENSG00000148053	NTRK2
ENSG00000079215	SLC1A3
ENSG00000163508	EOMES
ENSG00000007372	PAX6
ENSG00000134853	PDGFRA
ENSG00000077279	DCX
ENSG00000169896	ITGAM
ENSG00000257923	CUX1
ENSG00000272398	CD24
ENSG00000164434	FABP7
ENSG00000127152	BCL11B
ENSG00000148773	MKI67
ENSG00000113721	PDGFRB
ENSG00000131095	GFAP
ENSG00000064300	NGFR
ENSG00000258947	TUBB3
ENSG00000136535	TBR1
ENSG00000162692	VCAM1
ENSG00000196371	FUT4
ENSG00000162992	NEUROD1
ENSG00000076706	MCAM
ENSG00000261371	PECAM1
ENSG00000181449	SOX2
ENSG00000078018	MAP2
ENSG00000167281	RBFOX3
ENSG00000132688	NES
ENSG00000081237	PTPRC
