"age","genename","measurement","percent"
11,"Aldh1a1",0.00430499333273839,0.00155217016384018
12,"Aldh1a1",0,0.00116097888851547
13,"Aldh1a1",0.0944959509501779,0.00232018561484919
14,"Aldh1a1",0.482176888216999,0.00782402646756382
15,"Aldh1a1",0.534318462277704,0.0091780168141268
16,"Aldh1a1",0.879044584994542,0.0125782466864549
17,"Aldh1a1",0.914289471516817,0.0158759347799436
18,"Aldh1a1",1,0.0169864633986069
11,"Fabp7",0.00608282431422303,0.464271342339753
12,"Fabp7",0,0.40594543399224
13,"Fabp7",0.139851496135669,0.376538597664084
14,"Fabp7",0.201798205734768,0.309294943443466
15,"Fabp7",0.391754453361056,0.326517126179375
16,"Fabp7",0.743023511846691,0.292385458606401
17,"Fabp7",0.770445276796657,0.3029606472968
18,"Fabp7",1,0.342226310947562
11,"Itgam",0,0
12,"Itgam",0.021240330824625,6.11041520271302e-05
13,"Itgam",0.0593826389980922,0.000117975539738094
14,"Itgam",0.102662835594921,0.00013412616801538
15,"Itgam",0.231650292433696,0.000330408605308565
16,"Itgam",0.284561268600577,0.000352661122050137
17,"Itgam",0.675475791521885,0.00095010420497732
18,"Itgam",1,0.00118280983046392
11,"Ptprc",0.0696712147665583,0.00442655935613682
12,"Ptprc",0.0296331719921493,0.0032385200574379
13,"Ptprc",0,0.00291006331353966
14,"Ptprc",0.168453268790231,0.00576742522466133
15,"Ptprc",0.353490550923525,0.00726898931678843
16,"Ptprc",0.520054560593178,0.00881652805125342
17,"Ptprc",0.934051567535246,0.014435454211107
18,"Ptprc",1,0.015639374425023
11,"Bcl11b",0,0.216211555044553
12,"Bcl11b",0.572571402128716,0.333567565916104
13,"Bcl11b",0.871398048855517,0.360257973180227
14,"Bcl11b",0.887521305102782,0.350426968301516
15,"Bcl11b",1,0.336612944674915
16,"Bcl11b",0.656273443828111,0.237928703676492
17,"Bcl11b",0.37167594488136,0.187415716562462
18,"Bcl11b",0.683211288788507,0.202621895124195
11,"Cux1",0.17384582620205,0.548663409025582
12,"Cux1",0.596068672711475,0.52900919617488
13,"Cux1",0.140965948867778,0.440206063942743
14,"Cux1",0,0.426878884070282
15,"Cux1",0.280836314837725,0.39994126069239
16,"Cux1",0.844798579030872,0.43871043583037
17,"Cux1",1,0.457705038617139
18,"Cux1",0.960733927559419,0.436752529898804
11,"Dcx",0,0.369301523426272
12,"Dcx",0.545786715300912,0.443524487488925
13,"Dcx",0.896358681018798,0.523575445357663
14,"Dcx",0.775706394692848,0.51459739795234
15,"Dcx",1,0.499541099159294
16,"Dcx",0.690989085243119,0.445734269844535
17,"Dcx",0.576580280480092,0.425983817579993
18,"Dcx",0.381513027793775,0.381883296096728
11,"Adgre1",0.0526727602628943,0.00586375395228514
12,"Adgre1",0,0.00388011365372277
13,"Adgre1",0.0152668834322154,0.00401116835109521
14,"Adgre1",0.303757696304578,0.0112218893906201
15,"Adgre1",0.324881804657664,0.0129960718088036
16,"Adgre1",0.432699962244064,0.0165162958826814
17,"Adgre1",0.811311745633958,0.0252850312614932
18,"Adgre1",1,0.030884478906558
11,"Gad2",0.241310064314895,0.155791894222478
12,"Gad2",1,0.215636552503743
13,"Gad2",0.905626160692311,0.24822053560895
14,"Gad2",0.577131190821699,0.217239683462243
15,"Gad2",0,0.135357391974742
16,"Gad2",0.295446407083406,0.173039057219267
17,"Gad2",0.0770273176976653,0.152813534387643
18,"Gad2",0.047084288300541,0.148442633723223
11,"Gfap",0.00255961705236966,0.000919804541534924
12,"Gfap",0,0.000519385292230607
13,"Gfap",0.00215162694992309,0.00062920287860317
14,"Gfap",0.00641778912258254,0.000670630840076899
15,"Gfap",0.0234102852276708,0.00187231543008187
16,"Gfap",0.121828576456542,0.00528991683075205
17,"Gfap",0.337897736227982,0.00989947284540885
18,"Gfap",1,0.015310816138783
11,"Slc1a3",0,0.119114688128773
12,"Slc1a3",0.0520085542498913,0.122269408206288
13,"Slc1a3",0.140435775385324,0.135829171418459
14,"Slc1a3",0.236455420531975,0.163365672642733
15,"Slc1a3",0.438246596777021,0.207716876537318
16,"Slc1a3",0.539928332100906,0.201898492373703
17,"Slc1a3",0.747038224063501,0.237679293858036
18,"Slc1a3",1,0.265277960310159
11,"Mki67",0.905119062431518,0.240528887611383
12,"Mki67",1,0.193028016253704
13,"Mki67",0.13797573355629,0.082976129615793
14,"Mki67",0,0.0701032771493718
15,"Mki67",0.0746505910981911,0.0705973053342634
16,"Mki67",0.104087156531481,0.0667411173479884
17,"Mki67",0.202118704712855,0.0724224592374648
18,"Mki67",0.294106048411189,0.0694572217111316
11,"Map2",0,0.613394653636102
12,"Map2",0.632720194380674,0.727169961198863
13,"Map2",1,0.798143851508121
14,"Map2",0.584287038577536,0.77162784459248
15,"Map2",0.492889014511108,0.735562979551379
16,"Map2",0.478965889569755,0.727745613777295
17,"Map2",0.289547421777544,0.702157656000981
18,"Map2",0.218385343980635,0.686818241556052
11,"Mcam",0,0.0120149468237999
12,"Mcam",0.159683706368914,0.0133207051419144
13,"Mcam",0.275863967637135,0.0140784144087459
14,"Mcam",0.504888241083167,0.0174811105646712
15,"Mcam",0.601266404013746,0.0185028818972796
16,"Mcam",0.621533980534096,0.0200135186763453
17,"Mcam",1,0.023446119897021
