"age","genename","measurement","percent"
11,"Aldh1a1",0.00195746387540014,0.00155217016384018
12,"Aldh1a1",0,0.00116097888851547
13,"Aldh1a1",0.0882157913033683,0.00450824534345711
14,"Aldh1a1",0.564650797355412,0.0194928084784254
15,"Aldh1a1",0.625820972053481,0.0234334541688244
16,"Aldh1a1",1,0.0309404427051486
17,"Aldh1a1",0.979750280040662,0.0346791545374003
18,"Aldh1a1",0.537301860957871,0.0255102040816327
11,"Fabp7",0.00378105929880448,0.464271342339753
12,"Fabp7",0,0.40594543399224
13,"Fabp7",0.129575514800501,0.280460315577174
14,"Fabp7",0.397128340622079,0.263815291445874
15,"Fabp7",0.576948938449278,0.334153288451579
16,"Fabp7",1,0.416045004280298
17,"Fabp7",0.807709961800221,0.401974433615998
18,"Fabp7",0.7846023948349,0.450573979591837
11,"Itgam",0,0
12,"Itgam",0.0204109798558833,6.11041520271302e-05
13,"Itgam",0.0602810898357556,0.000118638035354135
14,"Itgam",0.350739677897013,0.000378501135503407
15,"Itgam",0.505383949126053,0.000776799585706888
16,"Itgam",0.521797435736474,0.000733765439647793
17,"Itgam",1,0.00126566257435768
18,"Itgam",0.997777201870495,0.00143494897959184
11,"Ptprc",0.0277611592777395,0.00442655935613682
12,"Ptprc",0,0.0032385200574379
13,"Ptprc",0.0379418056587365,0.00510143552022778
14,"Ptprc",0.466429188353864,0.0134367903103709
15,"Ptprc",0.754476069086532,0.0178663904712584
16,"Ptprc",0.621236045985177,0.0136969548734255
17,"Ptprc",1,0.0230350588533097
18,"Ptprc",0.928708371976266,0.0204081632653061
11,"Bcl11b",0.263164289493624,0.216211555044553
12,"Bcl11b",0.932100462982655,0.333567565916104
13,"Bcl11b",1,0.341202989678491
14,"Bcl11b",0.386393083646459,0.181869795609387
15,"Bcl11b",0.111950322332005,0.0871310201967892
16,"Bcl11b",0,0.0653051241286535
17,"Bcl11b",0.110146525183533,0.084419693709657
18,"Bcl11b",0.0289749883001427,0.0634566326530612
11,"Cux1",0.667403452180322,0.548663409025582
12,"Cux1",1,0.52900919617488
13,"Cux1",0.520339449962565,0.457586902360897
14,"Cux1",0.214687619018139,0.414269492808478
15,"Cux1",0.258716301244938,0.403935784567582
16,"Cux1",0,0.39268680445151
17,"Cux1",0.371780297749535,0.431337805341096
18,"Cux1",0.67853855222805,0.441326530612245
11,"Dcx",0.370329921211581,0.369301523426272
12,"Dcx",0.632476015342816,0.443524487488925
13,"Dcx",1,0.617629612053624
14,"Dcx",0.452354077753015,0.420893262679788
15,"Dcx",0.238561063968058,0.313827032625583
16,"Dcx",0,0.248012718600954
17,"Dcx",0.147631724716462,0.277053537526895
18,"Dcx",0.172309773345734,0.286033163265306
11,"Adgre1",0.0370052078054015,0.00586375395228514
12,"Adgre1",0,0.00388011365372277
13,"Adgre1",0.018698127418043,0.00462688337881125
14,"Adgre1",0.748288771109476,0.0299015897047691
15,"Adgre1",0.705639787377913,0.0319782496116002
16,"Adgre1",0.522630449446173,0.029472911825853
17,"Adgre1",0.890556999960727,0.0406277686368814
18,"Adgre1",1,0.0416135204081633
11,"Gad2",0.457149289908882,0.155791894222478
12,"Gad2",0.80788467433189,0.215636552503743
13,"Gad2",1,0.340491161466366
14,"Gad2",0.446675565838953,0.216881150643452
15,"Gad2",0.174692316505852,0.124287933713102
16,"Gad2",0.0895606508908743,0.101015042191513
17,"Gad2",0.0915943046442791,0.09479812681939
18,"Gad2",0,0.0629783163265306
11,"Gfap",0.000860757855995079,0.000919804541534924
12,"Gfap",0,0.000519385292230607
13,"Gfap",0.000342340496824106,0.000711828212124807
14,"Gfap",0.0053896978994156,0.00113550340651022
15,"Gfap",0.0150367757556304,0.00258933195235629
16,"Gfap",0.117878835866732,0.011862541274306
17,"Gfap",0.350471276455218,0.0221490950512593
18,"Gfap",1,0.0299744897959184
11,"Slc1a3",0,0.119114688128773
12,"Slc1a3",0.0329089779004404,0.122269408206288
13,"Slc1a3",0.110556852312804,0.112587495551074
14,"Slc1a3",0.3465412263532,0.203444360333081
15,"Slc1a3",0.595493494396442,0.28495598135681
16,"Slc1a3",0.763599985375923,0.33337409807998
17,"Slc1a3",0.885691381290764,0.344893051512467
18,"Slc1a3",1,0.353475765306122
11,"Mki67",0.845853899144121,0.240528887611383
12,"Mki67",0.909164091681626,0.193028016253704
13,"Mki67",0,0.0302526990153043
14,"Mki67",0.179889982783187,0.0582891748675246
15,"Mki67",0.429455203491073,0.0917918177110306
16,"Mki67",0.543156260167258,0.108474990827932
17,"Mki67",0.605631833932877,0.104543728641944
18,"Mki67",1,0.138233418367347
11,"Map2",0.331148145764391,0.613394653636102
12,"Map2",0.561928716504056,0.727169961198863
13,"Map2",1,0.856447977221497
14,"Map2",0.247778736943336,0.632853898561696
15,"Map2",0.0637941504542898,0.538063179699637
16,"Map2",0,0.522440993029228
17,"Map2",0.0107596435768918,0.529046956081509
18,"Map2",0.101233103903558,0.590082908163265
11,"Mcam",0,0.0120149468237999
12,"Mcam",0.0975805425493625,0.0133207051419144
13,"Mcam",0.0905171861190209,0.011507889429351
14,"Mcam",0.82236899883674,0.0295230885692657
15,"Mcam",0.91958755722558,0.0306835836354221
16,"Mcam",0.761433938049826,0.031918796624679
17,"Mcam",1,0.0330337931907353
18,"Mcam",0.593305114201899,0.0215242346938776
11,"Cdh2",0.576579862228777,0.588215004311584
12,"Cdh2",1,0.644343283126088
13,"Cdh2",0.871802971968564,0.595444299442401
14,"Cdh2",0.272418764935027,0.431869795609387
15,"Cdh2",0.229488056028881,0.396685655100984
16,"Cdh2",0,0.348538583832701
17,"Cdh2",0.205598410953329,0.39324136185293
18,"Cdh2",0.394065726011663,0.436862244897959
11,"Nes",1,0.310606496119575
12,"Nes",0.868593218419735,0.258073386086585
13,"Nes",0.0328226090942513,0.0898089927630798
14,"Nes",0,0.0857305071915216
15,"Nes",0.130258173442347,0.110823407560849
16,"Nes",0.159909685484691,0.124862418980066
17,"Nes",0.118867699885366,0.110745475256297
18,"Nes",0.0398462554995766,0.0835459183673469
11,"Rbfox3",0,0.200689853406151
12,"Rbfox3",0.363685929951307,0.25177965842779
13,"Rbfox3",1,0.407403013406098
14,"Rbfox3",0.564181761695248,0.293149129447388
15,"Rbfox3",0.307629294162309,0.228896944588296
16,"Rbfox3",0.124779505282713,0.211324446618564
17,"Rbfox3",0.303700019683473,0.230730287305404
18,"Rbfox3",0.667555821645808,0.288265306122449
11,"Neurod1",0,0.0146018970968669
12,"Neurod1",0.0754327144130397,0.0169564021875286
13,"Neurod1",0.00998139333721036,0.0163720488788706
14,"Neurod1",0.218164457926438,0.0213853141559425
15,"Neurod1",0.0912864919942223,0.0161833247022268
16,"Neurod1",0.142341740528136,0.0198116668704904
17,"Neurod1",0.277137553659355,0.0227819263384382
18,"Neurod1",1,0.046875
11,"Olig2",0.0374144602123916,0.0346076458752515
12,"Olig2",0.0447220048646384,0.0325685130304604
13,"Olig2",0,0.0148297544192668
14,"Olig2",0.170901600503631,0.0321725965177896
15,"Olig2",0.226337681006311,0.0471258415328845
16,"Olig2",0.455231851303978,0.0816925522807876
17,"Olig2",0.698404743559702,0.0989748133147703
18,"Olig2",1,0.119738520408163
11,"Ngfr",0.899082446711969,0.108192009198045
12,"Ngfr",0.0382296919772563,0.0664202132534906
13,"Ngfr",1,0.110926563056116
14,"Ngfr",0.967786203752653,0.0876230128690386
15,"Ngfr",0.620175457597099,0.0748316934230968
16,"Ngfr",0.385702935858561,0.0666503607680078
17,"Ngfr",0,0.0580939121630173
18,"Ngfr",0.531482292344916,0.078125
11,"Pax6",0.152146034289855,0.165967231963208
12,"Pax6",0.290319609181378,0.220524884665913
13,"Pax6",0,0.0765215328034168
14,"Pax6",0.113975907532265,0.124716124148372
15,"Pax6",0.35348038045633,0.208959088555153
16,"Pax6",0.555370941317787,0.27491745138804
17,"Pax6",0.515687467208279,0.260853056575117
18,"Pax6",1,0.415178571428571
11,"Pdgfra",0.116946662575554,0.0494969818913481
12,"Pdgfra",0,0.0181173810760441
13,"Pdgfra",0.0536809280109444,0.0198125519041405
14,"Pdgfra",0.277648480537765,0.0531794095382286
15,"Pdgfra",0.367939768241406,0.0668047643707923
16,"Pdgfra",0.619777017199575,0.0874403815580286
17,"Pdgfra",0.702298774619551,0.102771801037843
