"age","genename","measurement","percent"
11,"ALDH1A1",0.346424460510896,0.01
12,"ALDH1A1",0.109231188061124,0.0061
13,"ALDH1A1",0.0389257012320642,0.00567
14,"ALDH1A1",0.146497841432124,0.00375555555555556
15,"ALDH1A1",0.201288889144695,0.0106545454545455
16,"ALDH1A1",0,0.01052
17,"ALDH1A1",0.522274709677765,0.0303818181818182
18,"ALDH1A1",0.520076772578494,0.02775
19,"ALDH1A1",0.683452425079179,0.03617
20,"ALDH1A1",0.571017261832601,0.0318
21,"ALDH1A1",0.624544597082665,0.03615
22,"ALDH1A1",0.493758644111411,0.0346272727272727
23,"ALDH1A1",1,0.0453125
11,"FABP7",1,1
12,"FABP7",0.00291755812975536,0.82225
13,"FABP7",0.362818232434345,0.88547
14,"FABP7",0.469795274447167,0.9158
15,"FABP7",0.547838665506719,0.903909090909091
16,"FABP7",0.498789108136839,0.92628
17,"FABP7",0.231977456059099,0.835336363636364
18,"FABP7",0,0.66764
19,"FABP7",0.0871595185999759,0.62021
20,"FABP7",0.712859536631446,0.92235
21,"FABP7",0.487972128598211,0.8758375
22,"FABP7",0.649810268298381,0.889172727272727
23,"FABP7",0.0574897250971751,0.7647
11,"ITGAM",0,0.0066
12,"ITGAM",0.0138739713238416,0.00665
13,"ITGAM",0.150399125102301,0.03416
14,"ITGAM",0.185314219699396,0.0403222222222222
15,"ITGAM",0.189688399234038,0.0572818181818182
16,"ITGAM",0.30893475502804,0.10986
17,"ITGAM",0.275857387657471,0.109054545454545
18,"ITGAM",0.384884699484016,0.14315
19,"ITGAM",0.825188216698233,0.26042
20,"ITGAM",0.774766243331974,0.24465
21,"ITGAM",0.757631062732844,0.24165
22,"ITGAM",0.487237837105573,0.1557
23,"ITGAM",1,0.3092
11,"PTPRC",0.455550646284165,0.6004
12,"PTPRC",0.806605891955416,0.73735
13,"PTPRC",0.545868702140196,0.63398
14,"PTPRC",1,0.766188888888889
15,"PTPRC",0.804310819128954,0.710481818181818
16,"PTPRC",0.588845934288258,0.63768
17,"PTPRC",0.81924482079703,0.692436363636364
18,"PTPRC",0.938772521274626,0.73335
19,"PTPRC",0.396788260091631,0.53928
