"age","genename","measurement","percent"
11,"ALDH1A1",0.338278136140781,0.01
12,"ALDH1A1",0.182095210257827,0.0061
13,"ALDH1A1",0,0.00285
14,"ALDH1A1",0.120308071599034,0.0021
15,"ALDH1A1",0.144313165951964,0.00843333333333333
16,"ALDH1A1",0.36390505896578,0.0201
17,"ALDH1A1",0.757367254950357,0.0468
18,"ALDH1A1",0.710835385361961,0.043675
19,"ALDH1A1",0.601454844292613,0.03935
20,"ALDH1A1",0.421370412543886,0.0293666666666667
21,"ALDH1A1",0.534658440258838,0.0355
22,"ALDH1A1",0.592184664584487,0.0410666666666667
23,"ALDH1A1",1,0.05475
11,"FABP7",1,1
12,"FABP7",0.25873875583868,0.82225
13,"FABP7",0.549790363463564,0.78795
14,"FABP7",0.659149026808976,0.9673
15,"FABP7",0.752854906106059,0.975566666666667
16,"FABP7",0.48992295741021,0.8955
17,"FABP7",0.410288959754985,0.757775
18,"FABP7",0.504661509100261,0.8576
19,"FABP7",0.687240392660089,0.920825
20,"FABP7",0.990060114945873,0.998366666666667
21,"FABP7",0.768600678699653,0.9989
22,"FABP7",0.619018253341713,0.8455
23,"FABP7",0,0.43995
11,"ITGAM",0,0.0066
12,"ITGAM",0.0114855134171271,0.00665
13,"ITGAM",0.0584724210638018,0.01525
14,"ITGAM",0.0983724473808933,0.01845
15,"ITGAM",0.0501052293652733,0.0343666666666667
16,"ITGAM",0.223947401445826,0.1072
17,"ITGAM",0.244593984761018,0.109125
18,"ITGAM",0.33279014301347,0.151125
19,"ITGAM",0.631524141704854,0.240675
20,"ITGAM",0.591456336461197,0.225566666666667
21,"ITGAM",0.637913242564878,0.24445
22,"ITGAM",0.512595283730335,0.1875
23,"ITGAM",1,0.3596
11,"PTPRC",0.572843610453329,0.6004
12,"PTPRC",0.983162683881077,0.73735
13,"PTPRC",0.807981353789068,0.688
14,"PTPRC",1,0.7442
15,"PTPRC",0.955959491093074,0.700466666666667
16,"PTPRC",0.599383029182564,0.5958
17,"PTPRC",0.747135203873853,0.611825
18,"PTPRC",0.939485333688114,0.663825
19,"PTPRC",0.52169097967363,0.5368
