"age","genename","measurement","percent"
11,"ALDH1A1",0.187020395128816,0.01
12,"ALDH1A1",0.0829422814268759,0.0061
13,"ALDH1A1",0.0504352254038176,0.0037
14,"ALDH1A1",0.075893067959536,0.0028
15,"ALDH1A1",0.114080082024052,0.0075
16,"ALDH1A1",0,0.0059
17,"ALDH1A1",0.272355128528007,0.0246
18,"ALDH1A1",0.381042975192589,0.0294
19,"ALDH1A1",0.652754734703628,0.0494
20,"ALDH1A1",0.588435108109595,0.0506333333333333
21,"ALDH1A1",0.712331070187406,0.0686
22,"ALDH1A1",0.318437394781707,0.0348
23,"ALDH1A1",1,0.0833
11,"FABP7",0.791762215883613,1
12,"FABP7",0.213752023707038,0.82225
13,"FABP7",0.227226633575184,0.858566666666667
14,"FABP7",0.496939253277037,0.9049
15,"FABP7",0.549037639441312,0.796966666666667
16,"FABP7",0.632759360343769,0.9385
17,"FABP7",0.258079730194858,0.81715
18,"FABP7",0.0324001895878943,0.4917
19,"FABP7",0,0.42135
20,"FABP7",0.917902991721635,1
21,"FABP7",0.77058847706004,1
22,"FABP7",1,1
23,"FABP7",0.222423820925611,0.8695
11,"ITGAM",0.00219069775297298,0.0066
12,"ITGAM",0.00998860130678388,0.00665
13,"ITGAM",0.0576664878041195,0.0195333333333333
14,"ITGAM",0,0.0119
15,"ITGAM",0.0497302559807263,0.0372333333333333
16,"ITGAM",0.136064504777797,0.1024
17,"ITGAM",0.303788459779261,0.20365
18,"ITGAM",0.274079389444119,0.1902
19,"ITGAM",0.825028838725537,0.4486
20,"ITGAM",0.687141153667214,0.3746
21,"ITGAM",0.684300569229915,0.37685
22,"ITGAM",0.310184876332734,0.1463
23,"ITGAM",1,0.5535
11,"CD24",0.131201562521987,0.00085
12,"CD24",0.117254502869431,0.00115
13,"CD24",0.0529701350183821,0.000533333333333333
14,"CD24",0,1e-04
15,"CD24",0.11362018562633,0.00163333333333333
16,"CD24",0.147683174868723,0.0013
17,"CD24",0.464283014958123,0.0033
18,"CD24",0.680877811907104,0.00215
19,"CD24",0.725319328191885,0.0022
20,"CD24",0.910214133955191,0.0054
21,"CD24",0.924866719226634,0.00435
22,"CD24",1,0.00465
23,"CD24",0.983859155912632,0.0021
11,"PTPRC",0.707834063094331,0.6004
12,"PTPRC",0.942823145752824,0.73735
13,"PTPRC",0.709781560155058,0.603233333333333
14,"PTPRC",0.948800621427376,0.74295
15,"PTPRC",0.971873322022164,0.7248
16,"PTPRC",0.823471483459986,0.6483
17,"PTPRC",0.909396332009628,0.6743
18,"PTPRC",1,0.72305
19,"PTPRC",0.51560324183145,0.4379
20,"PTPRC",0.295764680784265,0.300433333333333
21,"PTPRC",0.172436189989594,0.23095
22,"PTPRC",0.262744592633113,0.25745
23,"PTPRC",0,0.148
11,"BCL11B",0.1406261001736,0.5144
12,"BCL11B",0.0731372934776962,0.4812
13,"BCL11B",0.070761517552102,0.4847
14,"BCL11B",0,0.4507
15,"BCL11B",0.0599215003302892,0.469466666666667
16,"BCL11B",0.0762437031663963,0.4663
17,"BCL11B",0.404235721631736,0.5611
18,"BCL11B",0.440339987590667,0.58295
19,"BCL11B",1,0.73305
20,"BCL11B",0.706019184312878,0.664666666666667
21,"BCL11B",0.686967232634777,0.66595
22,"BCL11B",0.0778761441226549,0.47105
23,"BCL11B",0.878429554613373,0.7382
11,"CUX1",0.674161153902651,0.0162
12,"CUX1",0.844227372792065,0.032
13,"CUX1",0.472382877758722,0.0105666666666667
14,"CUX1",0.593395088407829,0.01655
15,"CUX1",1,0.0478333333333333
16,"CUX1",0.726637098426953,0.0296333333333333
17,"CUX1",0.736763712064816,0.07245
18,"CUX1",0.500783409195237,0.03745
19,"CUX1",0.110789691954811,0.01095
20,"CUX1",0.0537199686292847,0.00326666666666667
21,"CUX1",0,0.0016
22,"CUX1",0.0484547507058811,0.0011
23,"CUX1",0.0668938102696485,3e-04
