"age","genename","measurement","percent"
11,"ALDH1A1",0.69306173719137,0.01
12,"ALDH1A1",0.366325980936464,0.0061
13,"ALDH1A1",0.704617784014915,0.0115
14,"ALDH1A1",0.90921601516142,0.007
15,"ALDH1A1",1,0.0213
16,"ALDH1A1",0.364716664073344,0.0131
17,"ALDH1A1",0.799596416583096,0.028
18,"ALDH1A1",0.349848350695585,0.0149
19,"ALDH1A1",0.747049218850128,0.0253
20,"ALDH1A1",0.324482634185679,0.017
21,"ALDH1A1",0.271216013601173,0.0165
22,"ALDH1A1",0,0.0158333333333333
23,"ALDH1A1",0.564151533969434,0.02385
11,"FABP7",1,1
12,"FABP7",0.187877185185055,0.82225
13,"FABP7",0.943869360310436,0.999666666666667
14,"FABP7",0.81373917334143,0.9779
15,"FABP7",0.463274037260719,0.875366666666667
16,"FABP7",0.546369876149244,0.8893
17,"FABP7",0.304992898020456,0.841466666666667
18,"FABP7",0.258599883482245,0.8297
19,"FABP7",0.305833977633318,0.6183
20,"FABP7",0,0.6163
21,"FABP7",0.52419539588307,0.7625
22,"FABP7",0.776603877544944,0.9991
23,"FABP7",0.71217035992443,0.9989
11,"ITGAM",0,0.0066
12,"ITGAM",0.0234408264295628,0.00665
13,"ITGAM",0.684963883693721,0.0804
14,"ITGAM",0.742599761332506,0.0935333333333333
15,"ITGAM",0.72951119071069,0.122933333333333
16,"ITGAM",0.897791928299092,0.17
17,"ITGAM",0.23867015074907,0.0801666666666667
18,"ITGAM",0.647315973825395,0.15445
19,"ITGAM",1,0.21215
20,"ITGAM",0.908622029649171,0.18385
21,"ITGAM",0.737589464725103,0.16075
22,"ITGAM",0.288790269599731,0.0821
23,"ITGAM",0.58774718772102,0.1252
11,"CD24",0.0323621710721168,0.00085
12,"CD24",0,0.00115
13,"CD24",0.195247653391837,0.0019
14,"CD24",0.618016678466684,0.0026
15,"CD24",1,0.0032
16,"CD24",0.708847517782194,0.00273333333333333
17,"CD24",0.635411774682189,0.0011
18,"CD24",0.963263738946776,0.0016
19,"CD24",0.555237181022034,0.00185
20,"CD24",0.76683277244963,0.0023
21,"CD24",0.761478920350589,0.00185
22,"CD24",0.838751335485761,0.00136666666666667
23,"CD24",0.848810479173592,0.0015
11,"PTPRC",0.322085813198136,0.6004
12,"PTPRC",0.543329832152968,0.73735
13,"PTPRC",0.501721415617619,0.6953
14,"PTPRC",1,0.860933333333333
15,"PTPRC",0.497163439857813,0.663166666666667
16,"PTPRC",0.285009975828173,0.553066666666667
17,"PTPRC",0.600590636412203,0.705866666666667
18,"PTPRC",0.51403559736006,0.7057
19,"PTPRC",0.17155786305045,0.48865
20,"PTPRC",0,0.36665
21,"PTPRC",0.0684296552366612,0.41175
22,"PTPRC",0.158243454021904,0.471233333333333
23,"PTPRC",0.115385286248133,0.4526
11,"BCL11B",0.4559597763961,0.5144
12,"BCL11B",0.241695800274993,0.4812
13,"BCL11B",0.73308227020353,0.544933333333333
14,"BCL11B",0.75592822808199,0.548533333333333
15,"BCL11B",0.858259014936606,0.5434
16,"BCL11B",0.769334814039506,0.520766666666667
17,"BCL11B",0.282665538526118,0.4496
18,"BCL11B",0.726903265672627,0.5047
19,"BCL11B",1,0.52155
20,"BCL11B",0.684609605868696,0.5099
21,"BCL11B",0.518350215348282,0.4894
22,"BCL11B",0,0.4185
23,"BCL11B",0.579367290646825,0.5004
11,"CUX1",0.796403225699788,0.0162
12,"CUX1",1,0.032
13,"CUX1",0.96797820535151,0.0400666666666667
14,"CUX1",0.574954269880624,0.0151
15,"CUX1",0.305813669064116,0.00823333333333333
16,"CUX1",0.105847756129143,0.00213333333333333
17,"CUX1",0.398551439218031,0.0176
18,"CUX1",0.0896540615749823,0.00185
19,"CUX1",0.0555742348286295,0.00085
20,"CUX1",0.0257667251348049,0.00105
21,"CUX1",0.030321929999634,0.00045
22,"CUX1",0.0379866568385455,7e-04
23,"CUX1",0,4e-04
11,"DCX",0.346894405618753,0.39325
12,"DCX",0.235514946269713,0.34285
13,"DCX",0.617576181758701,0.469633333333333
14,"DCX",0.420566776948007,0.408433333333333
15,"DCX",0.720309714840864,0.501666666666667
16,"DCX",0,0.246133333333333
17,"DCX",1,0.578233333333333
18,"DCX",0.092852185583525,0.2682
19,"DCX",0.830010593433511,0.50425
20,"DCX",0.381228390320786,0.37495
21,"DCX",0.374762252193743,0.3609
22,"DCX",0.219305631850529,0.308533333333333
23,"DCX",0.362001877932199,0.3619
11,"ADGRE1",0.319500751359632,0.4742
12,"ADGRE1",0.532049193033489,0.59955
13,"ADGRE1",0.594776808577297,0.583366666666667
14,"ADGRE1",1,0.765366666666667
15,"ADGRE1",0.22365779955417,0.4098
16,"ADGRE1",0.0970574167142899,0.351866666666667
17,"ADGRE1",0.354715883893786,0.474466666666667
18,"ADGRE1",0.225075006637617,0.47315
19,"ADGRE1",0,0.3004
20,"ADGRE1",0.249704875128129,0.47985
21,"ADGRE1",0.347834662437042,0.54225
22,"ADGRE1",0.13870781770411,0.398566666666667
23,"ADGRE1",0.562284509005197,0.6654
11,"GAD2",0.015769268111983,0.12285
12,"GAD2",0,0.12995
13,"GAD2",0.338211256322456,0.1721
14,"GAD2",0.788468512362783,0.253566666666667
15,"GAD2",1,0.252166666666667
16,"GAD2",0.647994354019736,0.2111
17,"GAD2",0.544434847620233,0.229933333333333
18,"GAD2",0.875386481149502,0.27435
19,"GAD2",0.438994082184451,0.18915
20,"GAD2",0.403537496826106,0.18465
21,"GAD2",0.373112308540675,0.1786
22,"GAD2",0.424229378558967,0.2145
23,"GAD2",0.308388274938397,0.19955
11,"GFAP",0,0.5
12,"GFAP",0.0175438596491228,0.5
13,"GFAP",0.631578947368421,0.666666666666667
14,"GFAP",0.666666666666667,0.666666666666667
15,"GFAP",0.701754385964912,0.333333333333333
16,"GFAP",0.736842105263158,0.333333333333333
17,"GFAP",0.596491228070175,0.666666666666667
18,"GFAP",0.491228070175439,0.5
19,"GFAP",0.526315789473684,0.5
20,"GFAP",0.596491228070175,1
21,"GFAP",0.666666666666667,1
22,"GFAP",1,0.666666666666667
23,"GFAP",0.807017543859649,1
11,"SLC1A3",0.665717701444,0.11395
12,"SLC1A3",1,0.15365
13,"SLC1A3",0.659720361344175,0.0483666666666667
14,"SLC1A3",0.999800652405401,0.0730333333333333
15,"SLC1A3",0.217362192811713,0.0089
16,"SLC1A3",0.102862127385376,0.0059
17,"SLC1A3",0.505060270402984,0.0595
18,"SLC1A3",0.335302113357051,0.0123
19,"SLC1A3",0,0.0035
20,"SLC1A3",0.0854686528159375,0.00495
21,"SLC1A3",0.0912736779462438,0.0063
22,"SLC1A3",0.0548156524879852,0.0041
23,"SLC1A3",0.176465420570373,0.0065
11,"MKI67",0,0.00015
12,"MKI67",0.027295076952054,1e-04
13,"MKI67",0.0651150434597161,3.33333333333333e-05
14,"MKI67",0.10798252929377,0
15,"MKI67",0.109859635263545,6.66666666666667e-05
16,"MKI67",0.226824843942856,0.000466666666666667
17,"MKI67",0.398525353736106,0.00206666666666667
18,"MKI67",0.438577998328567,0.0026
19,"MKI67",0.824366063904466,0.00855
20,"MKI67",0.518540931832849,0.00395
21,"MKI67",0.512142452836935,0.0043
22,"MKI67",1,0.0093
23,"MKI67",0.59422614029607,0.00385
11,"MAP2",0,1
12,"MAP2",0.0617215613575586,1
13,"MAP2",0.613093985578396,1
14,"MAP2",0.741484726672118,1
15,"MAP2",0.786806380281291,1
16,"MAP2",0.936813690946523,1
17,"MAP2",0.873984146102812,1
18,"MAP2",1,1
19,"MAP2",0.589889275004446,1
20,"MAP2",0.70223480165165,1
21,"MAP2",0.680467005036934,1
22,"MAP2",0.852741186930348,1
23,"MAP2",0.791831021781016,1
11,"MCAM",1,0.10125
12,"MCAM",0.594814354274078,0.03835
13,"MCAM",0.271269121492668,0.0194
14,"MCAM",0.224018780483128,0.0122
15,"MCAM",0.293731756765635,0.0285
16,"MCAM",0.203174666528806,0.0128333333333333
17,"MCAM",0.205490042960707,0.0488666666666667
18,"MCAM",0,0.0049
19,"MCAM",0.279732504980486,0.0439
20,"MCAM",0.4108877363476,0.0475
21,"MCAM",0.714855834539868,0.08845
22,"MCAM",0.334000679187516,0.0441666666666667
23,"MCAM",0.866895451791301,0.08565
11,"CDH2",0,0.0063
12,"CDH2",0.0871460059528147,0.00755
13,"CDH2",0.255929727209735,0.0144666666666667
14,"CDH2",0.403096119011527,0.0197333333333333
15,"CDH2",0.467729776805259,0.0322666666666667
16,"CDH2",0.506223378418759,0.0399333333333333
17,"CDH2",0.599506907191089,0.0421333333333333
