"age","genename","measurement","percent"
11,"ALDH1A1",0.771325213939058,0.01
12,"ALDH1A1",0.535004177057424,0.0061
13,"ALDH1A1",0.203995901903956,0.0027
14,"ALDH1A1",0.222592581710971,0.0015
15,"ALDH1A1",0.331674639081367,0.00275
16,"ALDH1A1",0,0.004
17,"ALDH1A1",0.157350481599117,0.0069
18,"ALDH1A1",0.316646957492921,0.0071
19,"ALDH1A1",0.557290605236907,0.02745
20,"ALDH1A1",0.600968529362946,0.022
21,"ALDH1A1",0.69490617451173,0.024
22,"ALDH1A1",0.927223107362989,0.04055
23,"ALDH1A1",1,0.03155
11,"FABP7",1,1
12,"FABP7",0.337370104847131,0.82225
13,"FABP7",0.324668121050405,0.85205
14,"FABP7",0.285031745449672,0.78205
15,"FABP7",0.752964322436824,0.99965
16,"FABP7",0.619135519876552,0.9942
17,"FABP7",0.709511912813585,0.99945
18,"FABP7",0.038201025935264,0.3016
19,"FABP7",0,0.21975
20,"FABP7",0.658217147552,0.9979
21,"FABP7",0.258235556942704,0.74195
22,"FABP7",0.201615805796005,0.62355
23,"FABP7",0.244425036331233,0.719
11,"ITGAM",0.0776061597097484,0.0066
12,"ITGAM",0.0919994550740097,0.00665
13,"ITGAM",0,0.00565
14,"ITGAM",0.139536825268316,0.0108
15,"ITGAM",0.262227430598022,0.02325
16,"ITGAM",0.201898467919045,0.0335
17,"ITGAM",0.262067000458837,0.05765
18,"ITGAM",0.34065997313678,0.06885
19,"ITGAM",0.642360423163167,0.16
20,"ITGAM",0.530317532247784,0.13915
21,"ITGAM",0.710222622120394,0.18455
22,"ITGAM",0.390713572361169,0.1104
23,"ITGAM",1,0.27255
11,"PTPRC",0.172746136919125,0.6004
12,"PTPRC",0.449938489240475,0.73735
13,"PTPRC",0.0294338042303224,0.5341
14,"PTPRC",0.260448933543007,0.6693
15,"PTPRC",0.502897513915042,0.775
16,"PTPRC",0.546134610178147,0.79055
17,"PTPRC",0.75554361238615,0.85165
18,"PTPRC",1,0.91035
19,"PTPRC",0.425214012852699,0.69625
20,"PTPRC",0.39023084743077,0.647
21,"PTPRC",0.1929609146974,0.56215
22,"PTPRC",0.0426291388740393,0.49
23,"PTPRC",0,0.4833
11,"BCL11B",0.466470674974925,0.5144
12,"BCL11B",0.338879641591,0.4812
13,"BCL11B",0.193667837118688,0.44495
14,"BCL11B",0.224128084989768,0.45485
15,"BCL11B",0.214475924035114,0.4477
16,"BCL11B",0,0.38885
17,"BCL11B",0.103052674346288,0.41015
18,"BCL11B",0.273611484394495,0.4486
19,"BCL11B",0.419851951063733,0.45975
20,"BCL11B",0.372296422352747,0.4605
21,"BCL11B",0.59283173685724,0.5093
22,"BCL11B",0.338575666018268,0.44255
23,"BCL11B",1,0.57995
11,"CUX1",0.217939230652619,0.0162
12,"CUX1",0.306807638905151,0.032
13,"CUX1",0.452920006459297,0.0474
14,"CUX1",0.847204691607612,0.14575
15,"CUX1",1,0.19715
16,"CUX1",0.720345443858847,0.1059
17,"CUX1",0.723455336050073,0.13655
18,"CUX1",0.460822412212601,0.0699
19,"CUX1",0.435379674070507,0.0819
20,"CUX1",0.173397961465565,0.03765
21,"CUX1",0.148539131217071,0.03295
22,"CUX1",0.0945157032055601,0.0208
23,"CUX1",0,0.0061
11,"DCX",0.402307271763409,0.39325
12,"DCX",0.297989301562706,0.34285
13,"DCX",0.180059191573284,0.2824
14,"DCX",0,0.21155
15,"DCX",0.566553875149149,0.4416
16,"DCX",0.304525592424706,0.32935
17,"DCX",0.814234037661997,0.52475
18,"DCX",0.710763115926908,0.49585
