"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"1","ALDH1A1","telencephalon","0.111732610993272","0.333997807329515","0.302344745958233","0.209269478061835","0.0584798680388566","-0.210821883276175","-0.776487667889131","-0.714894874011885","-0.339009428740601","-0.044634634321234","0.175540987798288","0.495968252872343","0.354491287258529"
"2","ALDH1A1","diencephalon","-0.492652678167762","-0.467784573245886","-0.0730813774868446","0.342825264692323","0.750924074115199","0.898943317993281","0.507725320229819","-0.0775175432896038","-0.335158955351295","-0.389236209983083","-0.318494307003575","-0.111866947041441","-0.0049498737080551"
"3","ALDH1A1","midbrain","-0.461934344803996","-0.200842835783201","0.0494465965774308","0.239506637246846","0.539697384453497","0.713448924206852","0.444014000477288","-0.0234926595435061","-0.336921686291128","-0.247270321144089","-0.28255737053778","-0.158949057310182","-0.0303080606799285"
"4","ALDH1A1","hindbrain","0.0951183855171436","0.240618439627698","-0.158121109081075","-0.287049579531428","-0.603397500707987","-0.103879729153681","0.103292419355128","0.247931065859652","0.355547501467315","0.195764519907365","-0.130941275317338","-0.156350337499501","0.00661651484695142"
"5","BLBP","telencephalon","0.138854632084145","0.0346053232196503","-0.224927382441479","-0.134489445162981","-0.17656137488707","0.206323122613922","-0.0640907107393333","0.0831198947650906","-0.214198419882527","-0.182732803664247","-0.206450063597677","0.175507483237228","0.134896150365704"
"6","BLBP","diencephalon","0.173507995146923","0.226327404456838","0.0440261857332006","-0.123660510622227","-0.221457459281066","-0.0241618837174812","-0.249066714200886","-0.0827200019087319","-0.0841460801537453","0.00199019459641037","-0.182924832451889","0.178972278711699","0.0699027220319604"
"7","BLBP","midbrain","0.234877334492962","0.100326273611937","0.0535175711174085","-0.158809916555183","-0.189381929646984","-0.3244890379962","-0.380989102677062","0.159423543903335","0.220794557583039","-0.0388179255390921","-0.122942337805104","-0.237473173781021","0.301364976180064"
"8","BLBP","hindbrain","0.300228606994876","0.265434256927553","0.186066663235122","-0.0910844763057615","-0.516054144679764","-0.375400627130899","-0.434689441637872","-0.249456653577235","0.0183452345220209","0.213375718854966","0.067021664186784","0.259999151803186","0.0331551293962881"
"9","CD11b","telencephalon","-0.327885102443235","-0.345546689862641","-0.305283517009726","-0.0878081554690888","0.224214438976935","0.65870740733678","0.911264612991687","0.479123914312196","0.292881665760618","0.0604983717870929","-0.399844424072246","-0.465134880518189","-0.304456442672568"
"10","CD11b","diencephalon","-0.379405703060971","-0.473290415756541","-0.188094795758387","0.0348559797057323","0.254301990127946","0.654578348947808","0.901493904857847","0.606088369609486","0.173243036966714","-0.182727587489693","-0.21407464469054","-0.331573335843801","-0.394066193966614"
