cluster,color
1,#787878
2,#755334
3,#C15BA3
4,#C9E0FF
5,#DDDCDE
6,#FFBDE5
7,#BEB5F5
8,#A1E0FF
9,#850760
10,#A90F7B
11,#FF2CDF
12,#DD10A0
13,#7077FF
14,#9AC6FF
15,#D1D1FF
16,#592926
17,#0073FF
18,#1B9AFF
19,#5EF8FF
20,#85CCCC
21,#00B0B2
22,#9CFFFF
23,#7A62F5
24,#2100FA
25,#4767BF
26,#3A91A1
27,#61BAFF
28,#7E82EA
29,#C0FFF9
30,#9192FF
31,#4771FF
32,#0039FF
33,#001A82
34,#D57DBB
35,#FF85A2
36,#A21DAF
37,#FF80EC
38,#E9A5B5
39,#F00E8E
40,#8BADF1
41,#E4C4F5
42,#D651E6
43,#FF6ECA
44,#FFC1F6
45,#811CA0
46,#CE1C99
47,#935AA4
48,#A127F3
49,#AC74BE
50,#B154FF
51,#CD57FF
52,#C87CEE
53,#FFED00
54,#D098FF
55,#A886BB
56,#8405E6
57,#C096FF
58,#7AAAFC
59,#5A0076
60,#474747
61,#7E4EAC
62,#B87133
63,#36E044
64,#BA6666
65,#11AB19
66,#D2B39A
67,#297C0E
68,#53C931
69,#92EA78
70,#C9835D
71,#BE9A7A
72,#C3FFB1
73,#32B2F2
74,#FFD08D
75,#FFA230
76,#FF9D69
77,#FF881A
78,#FF6B21
79,#CF3636
80,#FC1212
81,#D74F00
82,#2342AE
83,#F27F7F
84,#A646C3
85,#816866
