id,acronym,name,entrez_id,reference_space_id,specimen_id,plane_of_section_id,id
16174,Itga4,integrin alpha 4,16401,10,77599060,2,77924520
33713,Barhl1,BarH-like 1 (Drosophila),54422,2,5526,2,100054595
14589,Grin2c,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)",14813,10,703037,2,100085051
20423,Sort1,sortilin 1,20661,6,702427,2,100084391
73778,Dsp,desmoplakin,109620,8,938,2,100011594
11230,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7",11441,10,69222917,2,69237107
85081,Camta2,calmodulin binding transcription activator 2,216874,10,69486058,2,69540339
17087,Mid1,midline 1,17318,10,71993691,2,73927724
21095,Tac2,tachykinin 2,21334,7,4692,2,100040657
13967,Fgl2,fibrinogen-like protein 2,14190,1,4960,2,100046184
87008,Zfp189,zinc finger protein 189,230162,7,5189,2,100052920
85214,Stxbp6,syntaxin binding protein 6 (amisyn),217517,3,714609,2,113658121
42150,Isoc1,isochorismatase domain containing 1,66307,8,4304,2,100040821
86813,Tshz2,teashirt zinc finger family member 2,228911,5,714555,2,160025809
16647,Lhx9,LIM homeobox protein 9,16876,7,3232,2,100026943
88938,Gdf6,growth differentiation factor 6,242316,7,4871,2,100045166
16277,Kcnc3,"potassium voltage gated channel, Shaw-related subfamily, member 3",16504,10,69289638,2,69735694
15943,Il16,interleukin 16,16170,10,7026,2,100082205
13226,Doc2b,"double C2, beta",13447,8,4612,2,100038893
17244,Mpeg1,macrophage expressed gene 1,17476,1,703601,2,100091140
87845,Inpp4b,"inositol polyphosphate-4-phosphatase, type II",234515,5,4535,2,100054800
11709,Neurod4,neurogenic differentiation 4,11923,7,700880,2,100076229
13322,Dvl2,"dishevelled 2, dsh homolog (Drosophila)",13543,3,5396,2,100047689
13432,Egr2,early growth response 2,13654,2,712119,2,113104907
47844,Synpr,synaptoporin,72003,7,4623,2,100030602
14142,Fzd4,frizzled homolog 4 (Drosophila),14366,10,6975,2,100082211
18376,Pdyn,prodynorphin,18610,10,69370910,2,69782969
27118,Csnk1e,"casein kinase 1, epsilon",27373,1,4959,2,100046180
18760,Pou4f2,"POU domain, class 4, transcription factor 2",18997,2,5746,2,100057658
48554,Angptl1,angiopoietin-like 1,72713,2,4983,2,100046833
37240,Bcl11b,B cell leukemia/lymphoma 11B,58208,10,74625703,2,74990505
17795,Nfib,nuclear factor I/B,18028,7,4752,2,100052891
15048,Hivep2,human immunodeficiency virus type I enhancer binding protein 2,15273,8,5324,2,100052641
14203,Galr1,galanin receptor 1,14427,10,702994,2,100084668
78462,Steap4,STEAP family member 4,117167,6,702942,2,100090909
82847,Lrrc4,leucine rich repeat containing 4,192198,5,703857,2,100094834
89478,Polr2h,polymerase (RNA) II (DNA directed) polypeptide H,245841,3,112446539,2,113656700
11911,Bcl2l11,BCL2-like 11 (apoptosis facilitator),12125,1,4953,2,100046154
12705,Crhr2,corticotropin releasing hormone receptor 2,12922,3,5393,2,100047805
22177,Wnt6,"wingless-type MMTV integration site family, member 6",22420,7,6400,2,100076132
11708,Neurod6,neurogenic differentiation 6,11922,3,6705,2,100072521
18780,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",19017,5,700746,2,100073443
12394,Cebpd,"CCAAT/enhancer binding protein (C/EBP), delta",12609,1,112872176,2,113965321
45557,Trip13,thyroid hormone receptor interactor 13,69716,2,714526,2,113110564
16185,Itgb1,integrin beta 1 (fibronectin receptor beta),16412,2,702919,2,100093331
46574,6330411E07Rik,RIKEN cDNA 6330411E07 gene,70733,6,703376,2,100092165
21726,Top1,topoisomerase (DNA) I,21969,6,3773,2,100040934
88096,Plxnb1,plexin B1,235611,5,6523,2,100071542
43913,Pdzd2,PDZ domain containing 2,68070,8,4835,2,100045176
40718,Clstn2,calsyntenin 2,64085,5,7038,2,100072923
